Code departement;Code postal;Valeur fonciere;Commune;Surface Carrez du 1er lot;Date mutation;Type local
92;92150.0;575800.0;SURESNES;80,11;03/01/2024;Appartement
92;92110.0;87000.0;CLICHY;18,23;03/01/2024;Appartement
92;92300.0;150000.0;LEVALLOIS PERRET;21,89;05/01/2024;Appartement
92;92600.0;220000.0;ASNIERES SUR SEINE;28,11;04/01/2024;Appartement
92;92400.0;450370.0;COURBEVOIE;73,28;05/01/2024;Appartement
92;92200.0;1336000.0;NEUILLY SUR SEINE;87,25;02/01/2024;Appartement
92;92400.0;547500.0;COURBEVOIE;67,21;05/01/2024;Appartement
92;92110.0;462500.0;CLICHY;64,54;04/01/2024;Appartement
92;92300.0;210000.0;LEVALLOIS PERRET;24,16;09/01/2024;Appartement
92;92600.0;336000.0;ASNIERES SUR SEINE;54,68;04/01/2024;Appartement
92;92400.0;400628.0;COURBEVOIE;52,89;08/01/2024;Appartement
92;92300.0;195000.0;LEVALLOIS PERRET;19,17;05/01/2024;Appartement
92;92700.0;135000.0;COLOMBES;27,70;03/01/2024;Appartement
92;92700.0;221000.0;COLOMBES;31,78;08/01/2024;Maison
92;92110.0;332000.0;CLICHY;42,66;10/01/2024;Appartement
92;92600.0;380000.0;ASNIERES SUR SEINE;53,55;09/01/2024;Appartement
92;92150.0;318900.0;SURESNES;40,08;09/01/2024;Appartement
92;92150.0;350000.0;SURESNES;54,90;02/01/2024;Appartement
92;92200.0;130000.0;NEUILLY SUR SEINE;13,18;10/01/2024;Appartement
92;92600.0;260000.0;ASNIERES SUR SEINE;42,07;05/01/2024;Appartement
92;92270.0;109000.0;BOIS COLOMBES;22,60;05/01/2024;Appartement
92;92300.0;272000.0;LEVALLOIS PERRET;27,50;15/01/2024;Appartement
92;92600.0;678800.0;ASNIERES SUR SEINE;91,86;09/01/2024;Appartement
92;92600.0;216850.0;ASNIERES SUR SEINE;62,07;05/01/2024;Appartement
92;92110.0;387000.0;CLICHY;57,78;08/01/2024;Appartement
92;92150.0;158000.0;SURESNES;29,82;04/01/2024;Appartement
92;92600.0;175000.0;ASNIERES SUR SEINE;34,49;11/01/2024;Appartement
92;92600.0;145000.0;ASNIERES SUR SEINE;34,89;11/01/2024;Appartement
92;92400.0;230000.0;COURBEVOIE;50,93;11/01/2024;Appartement
92;92110.0;261000.0;CLICHY;36,45;10/01/2024;Appartement
92;92400.0;455000.0;COURBEVOIE;108,05;12/01/2024;Appartement
92;92400.0;230000.0;COURBEVOIE;38,94;04/01/2024;Appartement
92;92600.0;147500.0;ASNIERES SUR SEINE;35,09;15/01/2024;Appartement
92;92200.0;546650.0;NEUILLY SUR SEINE;54,02;09/01/2024;Appartement
92;92250.0;295000.0;GARENNE COLOMBES;43,61;12/01/2024;Appartement
92;92200.0;650000.0;NEUILLY SUR SEINE;47,06;10/01/2024;Appartement
92;92300.0;303000.0;LEVALLOIS PERRET;38,66;17/01/2024;Appartement
92;92300.0;297000.0;LEVALLOIS PERRET;35,84;05/01/2024;Appartement
92;92300.0;564666.0;LEVALLOIS PERRET;63,26;11/01/2024;Appartement
92;92600.0;522000.0;ASNIERES SUR SEINE;70,61;16/01/2024;Appartement
92;92400.0;576000.0;COURBEVOIE;76,26;15/01/2024;Appartement
92;92500.0;395000.0;RUEIL MALMAISON;66,80;17/01/2024;Appartement
92;92700.0;244000.0;COLOMBES;91,11;12/01/2024;Appartement
92;92700.0;215000.0;COLOMBES;81,30;11/01/2024;Appartement
92;92300.0;570000.0;LEVALLOIS PERRET;57,51;10/01/2024;Appartement
92;92400.0;274800.0;COURBEVOIE;43,61;12/01/2024;Appartement
92;92700.0;219650.0;COLOMBES;39,03;08/01/2024;Appartement
